CSR:    10000202
AMR:    00000000
GFPGFR: 0700001D
NRP:    002B9B36
SSR:    0000003F
RILC:   00000008
ITSR:   0000020D
NTSR:   0001020D
GPLYB:  00000000
GPLYA:  00000000
ILC:    00000000
A31:    00000000
A30:    00000005
A29:    00000000
A28:    00000000
A27:    0081072C
A26:    00000000
A25:    E2BFFEB8
A24:    00000000
A23:    00000000
A22:    00000000
A21:    00000000
A20:    00000000
A19:    00000020
A18:    555554D5
A17:    FFFFFFFF
A16:    00000002
A11:    00000007
A10:    E2B9C318
A9:     FFFFFFFF
A8:     FFFFFFFF
A7:     FFFFFFFF
A6:     555554F8
A5:     FFFFFFFF
A4:     FFFFFFFF
A3:     55555500
A2:     00000002
A1:     00000025
A0:     00000001
B31:    0000FFFF
B30:    00177518
B29:    00176D18
B28:    00171A68
B27:    0039FF27
B26:    0126FEAD
B25:    00000000
B24:    00000000
B23:    00000000
B22:    0000FFE1
B21:    00000000
B20:    00000000
B19:    E2C158A4
B18:    00851BA0
B17:    00000013
B16:    00852DCC
B15:    008109C4
B11:    00230314
B9:     0000000F
B8:     00000032
B7:     00000005
B6:     555554F8
B5:     FFFFFFFF
B4:     FFFFFFFF
B3:     0022F350
B2:     00000000
B1:     00000000
B0:     00000001
