"Program Address","Load Address","Program Data","Read Address","Read Data","Read Size (In Bits)","Write Address","Write Data","Write Size (In Bits)","Cycles","Stall Cycle Data","Memory/Cache Event","External Event","Target State Data","Trace Status","Stall Event Names","Memory Event Names","Function","Disassembly"
"","","","","","","","","","","","","","","Start of trace","","","UNKNOWN",""
"","","","","","","","","","","","","","","Incomplete frame, Missing start of frame marker, disable circular buffering or assure collection is started before running target.","","","UNKNOWN",""
"0022b0a0","0022b0a0","40001011","","","","","","","000001","","","","","Stall timing collection on, cycle columns show stall timing and pipeline advances","","","m_ater_process_egress","    [ B1]  B.S1          0x22b120"
"0022b0a4","0022b0a4","000c5a59","","","","","","","","","","","","","","","m_ater_process_egress"," ||        CMPEQ.L1X     2,B3,A0"
"0022b0a8","0022b0a8","0291e7a3","","","","","","","","","","","","","","","m_ater_process_egress"," ||        AND.S2        15,B4,B5"
"0022b0ac","0022b0ac","000c6a5a","","","","","","","","","","","","","","","m_ater_process_egress"," ||        CMPEQ.L2      3,B3,B0"
"0022b0b0","0022b0b0","038c8a5a","","","","","","","000001","","","","","","","","m_ater_process_egress","           CMPEQ.L2      4,B3,B7"
"0022b0b4","0022b0b4","00001ffa","","","","","","","000001","","","","","","","","m_ater_process_egress","           OR.L2X        B0,A0,B0"
"0022b0b8","0022b0b8","00143a58","","","","","","","000001","","","","","","","","m_ater_process_egress","           CMPEQ.L1X     1,B5,A0"
"0022b0bc","0022b0bc","001c0ffa","","","","","","","000001","","","","","","","","m_ater_process_egress","           OR.L2         B0,B7,B0"
"0022b0c0","0022b0c0","0000f867","","","","","","","000001","","","","","","","","m_ater_process_egress","           XOR.L2        B0,1,B0"
"0022b0c2","0022b0c2","0000a9a7","","","","","","","000004","","","","","","","","m_ater_process_egress","           ADD.L2        B0,B5,B1"
"0022b0c4","0022b0c4","0291e7a3","","","","","","","","","","","","","","","m_ater_process_egress"," ||        AND.S2        15,B4,B5"
"0022b0c8","0022b0c8","000cda59","","","","","","","","","","","","","","","m_ater_process_egress"," ||        CMPEQ.L1X     6,B3,A0"
"0022b0cc","0022b0cc","30226120","","","","","","","","","","","","","","","m_ater_process_egress"," || [!B0]  BNOP.S1       0x22b104,3"
"0022b0d0","0022b0d0","01142a5a","","","","","","","000001","","","","","","","","m_ater_process_egress","           CMPEQ.L2      1,B5,B2"
"0022b0d4","0022b0d4","000014a8","","","","","","","000001","","","","","","","","m_ater_process_egress","           OR.L1X        A0,B1,A0"
"0022b0d6","0022b0d6","00008c7a","","","","","","","000005","","","","","","","","m_ater_process_egress","           ADD.L2        B0,B5,B1"
"0022b0d8","0022b0d8","0291ef5a","","","","","","","","","","","","","","","m_ater_process_egress"," ||        AND.L2        15,B4,B5"
"0022b0e0","0022b0e0","00146bda","","","","","","","000001","","","","","","","","m_ater_process_egress","           CMPLTU.L2     0x3,B5,B0"
"0022b0e4","0022b0e4","30218121","","","","","","","000005","","","","","","","","m_ater_process_egress","    [!B0]  BNOP.S1       0x22b122,4"
"0022b0e8","0022b0e8","0097605a","","","","","","","","","","","","","","","m_ater_process_egress"," ||        SUB.L2        B5,0x5,B1"
"0022b0e4","0022b0e4","30218121","","","","","","","000001","","","","","Pipeline stall","","","m_ater_process_egress","    [!B0]  BNOP.S1       0x22b122,4"
"0022b0ec","0022b0ec","00844bda","","","","","","","000001","","","","","","","","m_ater_process_egress","           CMPLTU.L2     0x2,B1,B1"
"0022b122","0022b122","0000810a","","","","","","","000002","","","","","","","","m_ater_process_egress","           MV.L2         B8,B0"
"0022b122","0022b122","0000810a","","","","","","","000004","","","","","Pipeline stall","","","m_ater_process_egress","           MV.L2         B8,B0"
"0022b122","0022b122","0000810a","","","","","","","000003","","","","","Execution continued","","","m_ater_process_egress","           MV.L2         B8,B0"
"0022b124","0022b124","00002427","","","","","","","000001","","","","","","","","m_ater_process_egress","           MVK.L2        1,B0"
"0022b128","0022b128","30003211","","","","","","","000001","","","","","","","","m_ater_process_egress","    [!B0]  B.S1          0x22b2b0"
"0022b12c","0022b12c","000cda59","","","","","","","","","","","","","","","m_ater_process_egress"," ||        CMPEQ.L1X     6,B3,A0"
"0022b130","0022b130","008caa5a","","","","","","","","","","","","","","","m_ater_process_egress"," ||        CMPEQ.L2      5,B3,B1"
"0022b134","0022b134","30003890","","","","","","","000001","","","","","","","","m_ater_process_egress","    [!B0]  B.S1          0x22b2e4"
"0022b138","0022b138","00803ffa","","","","","","","000001","","","","","","","","m_ater_process_egress","           OR.L2X        B1,A0,B1"
"0022b140","0022b140","303402e4","","","0020","","","","000001","","","","","","","","m_ater_process_egress","    [!B0]  LDW.D2T1      *+B13[0],A0"
"0022b144","0022b144","340003aa","","","","","","","000001","","","","","","","","m_ater_process_egress","    [!B0]  MVK.S2        0x0007,B8"
